,venues,address,lat,lon
0,Antone's Record Shop,2928 Guadalupe,,
1,Breakaway Records,211 W. North Loop Blvd.,,
2,End of an Ear,4304 Clawson Rd.,,
3,Exploded Records at Juiceland,4500 Duval,,
4,Friend of Sound Records,1704 S. Congress Ave.,,
5,Monkeywrench Books,110 E. North Loop,,
6,Waterloo Records,600 N. Lamar,,
7,Antone's,305 E. 5th St.,,
8,Austin Beer Garden Brewing Co.,1305 W. Oltorf St.,,
9,Barracuda ,611 E. 7th St.,,
10,Beerland,711 1/2 Red River,,
11,The Belmont,305 W. 6th St.,,
12,The Blackheart,86 Rainey St.,,
13,C-Boy's Heart and Soul,2008 S. Congress Ave.,,
14,The Cactus Cafe Texas Union,UT campus,,
15,The Carousel Lounge,1110 E. 52nd St.,,
16,Cheer Up Charlies,900 Red River,,
17,Come and Take It Live,2015 E. Riverside Dr.,,
18,Continental Club ,1315 S. Congress,,
19,Dirty Dog Bar,505 East 6th St.,,
20,Dozen Street,1808 E. 12th St.,,
21,Elysium,705 Red River,,
22,Emo's,2015 E. Riverside Dr.,,
23,Empire Control Room & Garage,604-606 E. 7th St.,,
24,Flamingo Cantina,515 E. 6th St.,,
25,The Grand,"4631 Airport Blvd, Suite 121",,
26,The Highball,1120 S. Lamar Blvd.,,
27,Hole in the Wall,2538 Guadalupe,,
28,Hotel Vegas,1500 E. 6th St.,,
29,Kingdom,103 E. 5th St.,,
30,The Lost Well,2421 Webberville Rd.,,
31,Lucky Lounge,209 W. 5th St.,,
32,The Mohawk,912 Red River,,
33,Nomad,1213 Corona Dr.,,
34,The North Door,501 Brushy St.,,
35,One-2-One Bar,1509 S. Lamar Blvd. St. 600,,
36,The Parish,214 E 6th St.,,
37,The Sahara Lounge,1413 Webberville Rd.,,
38,The Scoot Inn,1308 E. 4th St.,,
39,The Sidewinder,715 Red River,,
40,Spiderhouse Ballroom,2908 Fruth St.,,
41,Stubb's BBQ,801 Red River,,
42,Swan Dive,615 Red River,,
43,Tellers,607 and 609 Trinity,,
44,Texas Mist,1115 Old Bastrop Hwy.,,
45,The Volstead Lounge,1500 E. 6th St.,,
46,Vulcan Gas Company,418 E. 6th St.,,
47,The White Horse,500 Comal St.,,
48,3ten ACL Live,"310 Willie Nelson Blvd., Suite 1A",,
49,Austin360 Amphitheater,9201 Circuit of the Americas Blvd.,,
50,ACL Live at The Moody Theater,310 Willie Nelson Blvd.,,
51,Bass Concert Hall,UT campus,,
52,Cedar Park Center,2100 Avenue of the Stars,,
53,The Frank Erwin Center,1701 Red River,,
54,Hogg Auditorium,UT campus,,
55,Ironwood Hall,505 E. 7th St.,,
56,The Long Center,701 W. Riverside Dr.,,
57,One World Theatre,7701 Bee Caves Rd.,,
58,The Paramount Theater,713 Congress Ave.,,
59,Scottish Rite Theater,207 W. 18th St.,,
60,Skyline Theater,701 W. Riverside Dr.,,
61,Travis County Exposition Center,7311 Decker Lane,,
62,Buzz Mill,1505 Town Creek Dr.,,
63,Cherrywood Coffeehouse,1400 E. 38th 1/2 St.,,
64,Counter Culture,2337 E. Cesar Chavez,,
65,Lamberts,401 W. 2nd St.,,
66,Oskar Blues Brewery,10420 Metric Blvd.,,
67,Spiderhouse,2908 Fruth St.,,
68,Threadgill's,301 West Riverside Dr.,,
