,venues,address,lat,lon
0,Antone's Record Shop,2928 Guadalupe,30.2964025,-97.74260389999999
1,Breakaway Records,211 W. North Loop Blvd.,30.31831,-97.72444019999999
2,End of an Ear,4304 Clawson Rd.,30.2290288,-97.7843333
3,Exploded Records at Juiceland,4500 Duval,30.3072342,-97.72488799999999
4,Friend of Sound Records,1704 S. Congress Ave.,30.2469358,-97.75097790000001
5,Monkeywrench Books,110 E. North Loop,30.3179515,-97.72168950000001
6,Waterloo Records,600 N. Lamar,30.271932,-97.75427549999999
7,Antone's,305 E. 5th St.,30.266128,-97.7403547
8,Austin Beer Garden Brewing Co.,1305 W. Oltorf St.,30.2451775,-97.7688783
9,Barracuda ,611 E. 7th St.,30.2670856,-97.73628079999999
10,Beerland,711 1/2 Red River,30.2773747,-97.74687829999999
11,The Belmont,305 W. 6th St.,30.2685934,-97.74561709999999
12,The Blackheart,86 Rainey St.,30.2596756,-97.7386599
13,C-Boy's Heart and Soul,2008 S. Congress Ave.,30.2436795,-97.7522169
14,The Cactus Cafe Texas Union,UT campus,30.2849185,-97.7340567
15,The Carousel Lounge,1110 E. 52nd St.,30.3099174,-97.70825830000001
16,Cheer Up Charlies,900 Red River,30.26960979999999,-97.73635829999999
17,Come and Take It Live,2015 E. Riverside Dr.,30.2402656,-97.7285157
18,Continental Club ,1315 S. Congress,30.2504975,-97.74903359999999
19,Dirty Dog Bar,505 East 6th St.,30.2664217,-97.73804100000001
20,Dozen Street,1808 E. 12th St.,30.2738574,-97.7204014
21,Elysium,705 Red River,30.2675715,-97.7365464
22,Emo's,2015 E. Riverside Dr.,30.2402656,-97.7285157
23,Empire Control Room & Garage,604-606 E. 7th St.,30.2674328,-97.7360899
24,Flamingo Cantina,515 E. 6th St.,30.266484,-97.7377449
25,The Grand,"4631 Airport Blvd, Suite 121",30.3061352,-97.7150667
26,The Highball,1120 S. Lamar Blvd.,30.2561977,-97.7635717
27,Hole in the Wall,2538 Guadalupe,30.2900705,-97.74177639999999
28,Hotel Vegas,1500 E. 6th St.,30.2634308,-97.72726399999999
29,Kingdom,103 E. 5th St.,30.26675,-97.7424387
30,The Lost Well,2421 Webberville Rd.,30.2626404,-97.7144728
31,Lucky Lounge,209 W. 5th St.,30.2673544,-97.7453625
32,The Mohawk,912 Red River,30.2701568,-97.7360368
33,Nomad,1213 Corona Dr.,30.312582,-97.70488399999999
34,The North Door,501 Brushy St.,30.2647502,-97.7341613
35,One-2-One Bar,1509 S. Lamar Blvd. St. 600,30.2519609,-97.76373360000001
36,The Parish,214 E 6th St.,30.2678099,-97.7406942
37,The Sahara Lounge,1413 Webberville Rd.,30.2794521,-97.681569
38,The Scoot Inn,1308 E. 4th St.,30.2621409,-97.72938549999999
39,The Sidewinder,715 Red River,30.2679079,-97.7363869
40,Spiderhouse Ballroom,2908 Fruth St.,30.2954951,-97.74174169999999
41,Stubb's BBQ,801 Red River,30.2684579,-97.73617480000001
42,Swan Dive,615 Red River,30.2671738,-97.736684
43,Tellers,607 and 609 Trinity,30.267636,-97.7389012
44,Texas Mist,1115 Old Bastrop Hwy.,30.2280656,-97.68079809999999
45,The Volstead Lounge,1500 E. 6th St.,30.2634308,-97.72726399999999
46,Vulcan Gas Company,418 E. 6th St.,30.267162,-97.73846499999999
47,The White Horse,500 Comal St.,30.2625474,-97.727003
48,3ten ACL Live,"310 Willie Nelson Blvd., Suite 1A",30.26536399999999,-97.7472739
49,Austin360 Amphitheater,9201 Circuit of the Americas Blvd.,30.1341647,-97.63842939999999
50,ACL Live at The Moody Theater,310 Willie Nelson Blvd.,30.26536399999999,-97.7472739
51,Bass Concert Hall,UT campus,30.2849185,-97.7340567
52,Cedar Park Center,2100 Avenue of the Stars,30.5414498,-97.82058529999999
53,The Frank Erwin Center,1701 Red River,30.2769548,-97.7322085
54,Hogg Auditorium,UT campus,30.2849185,-97.7340567
55,Ironwood Hall,505 E. 7th St.,30.2672791,-97.7375539
56,The Long Center,701 W. Riverside Dr.,30.259982,-97.75107899999999
57,One World Theatre,7701 Bee Caves Rd.,30.309041,-97.8453715
58,The Paramount Theater,713 Congress Ave.,30.2693519,-97.7418824
59,Scottish Rite Theater,207 W. 18th St.,30.2799865,-97.7407791
60,Skyline Theater,701 W. Riverside Dr.,30.259982,-97.75107899999999
61,Travis County Exposition Center,7311 Decker Lane,30.2956846,-97.621927
62,Buzz Mill,1505 Town Creek Dr.,30.2416861,-97.72683970000001
63,Cherrywood Coffeehouse,1400 E. 38th 1/2 St.,30.2935421,-97.716
64,Counter Culture,2337 E. Cesar Chavez,30.2545306,-97.7179302
65,Lamberts,401 W. 2nd St.,30.2651645,-97.74793009999999
66,Oskar Blues Brewery,10420 Metric Blvd.,30.383536,-97.7142182
67,Spiderhouse,2908 Fruth St.,30.2954951,-97.74174169999999
68,Threadgill's,301 West Riverside Dr.,30.2581956,-97.74875779999999
