,venues
0,Antone's Record Shop 2928 Guadalupe 512-322-0660 map facebook
1,Breakaway Records 211 W. North Loop Blvd. 512-538-0174 map facebook
2,End of an Ear 4304 Clawson Rd. 512-462-6008 map facebook
3,Exploded Records at Juiceland 4500 Duval 512-704-5434 map facebook
4,Friend of Sound Records 1704 S. Congress Ave. 512-447-1000 map facebook
5,Monkeywrench Books 110 E. North Loop 512-407-6925 map facebook
6,Waterloo Records 600 N. Lamar 512-474-2500 map facebook
7,Antone's 305 E. 5th St. map facebook
8,Austin Beer Garden Brewing Co. 1305 W. Oltorf St. 512-298-2242 map facebook
9,Barracuda 611 E. 7th St. map facebook
10,Beerland 711 1/2 Red River 512-479-7625 map facebook
11,The Belmont 305 W. 6th St. 512-476-2100 map facebook
12,The Blackheart 86 Rainey St. map facebook
13,C-Boy's Heart and Soul 2008 S. Congress Ave. 512-215-0023 map facebook
14,"The Cactus Cafe Texas Union, UT campus 512-475-6515 map facebook"
15,The Carousel Lounge 1110 E. 52nd St. 512-452-6790 map facebook
16,Cheer Up Charlies 900 Red River 512-431-2133 map facebook
17,Come and Take It Live 2015 E. Riverside Dr. 512-547-9909 map facebook
18,Continental Club 1315 S. Congress 512-441-2444 map facebook
19,Dirty Dog Bar 505 East 6th St. 512-236-9800 map facebook
20,Dozen Street 1808 E. 12th St. 512-236-1770 map facebook
21,Elysium 705 Red River 512-478-2979 map facebook
22,Emo's 2015 E. Riverside Dr. 512-693-3667 map facebook
23,Empire Control Room & Garage 604-606 E. 7th St. 512-651-4690 map facebook
24,Flamingo Cantina 515 E. 6th St. 512-494-9336 map facebook
25,"The Grand 4631 Airport Blvd, Suite 121 512-454-1986 map facebook"
26,The Highball 1120 S. Lamar Blvd. 512-383-8309 map facebook
27,Hole in the Wall 2538 Guadalupe 512-472-5599 map facebook
28,Hotel Vegas 1500 E. 6th St. map facebook
29,Kingdom 103 E. 5th St. 512-522-0116 map facebook
30,The Lost Well 2421 Webberville Rd. map facebook
31,Lucky Lounge 209 W. 5th St. 512-479-7700 map facebook
32,The Mohawk 912 Red River map facebook
33,Nomad 1213 Corona Dr. 512-628-4288 map facebook
34,The North Door 501 Brushy St. 512-485-3001 map facebook
35,One-2-One Bar 1509 S. Lamar Blvd. St. 600 512-473-0121 map facebook
36,The Parish 214 E 6th St. 512-479-6372 map facebook
37,The Sahara Lounge 1413 Webberville Rd. 512-927-0700 map facebook
38,The Scoot Inn 1308 E. 4th St. map facebook
39,The Sidewinder 715 Red River map facebook
40,Spiderhouse Ballroom 2908 Fruth St. 512-480-9562 map facebook
41,Stubb's BBQ 801 Red River 512-480-8341 map facebook
42,Swan Dive 615 Red River map facebook
43,Tellers 607 and 609 Trinity map facebook
44,Texas Mist 1115 Old Bastrop Hwy. map facebook
45,The Volstead Lounge 1500 E. 6th St. map facebook
46,Vulcan Gas Company 418 E. 6th St. 512-297-2051 map facebook
47,The White Horse 500 Comal St. 512-553-6756 map facebook
48,"3ten ACL Live 310 Willie Nelson Blvd., Suite 1A 512-457-5595 map facebook"
49,Austin360 Amphitheater 9201 Circuit of the Americas Blvd. 512-301-6600 map facebook
50,ACL Live at The Moody Theater 310 Willie Nelson Blvd. 512-225-7999 map facebook
51,Bass Concert Hall UT campus 512-471-1444 map facebook
52,Cedar Park Center 2100 Avenue of the Stars 512-600-5000 map facebook
53,The Frank Erwin Center 1701 Red River 512-471-7744 map facebook
54,Hogg Auditorium UT campus 512-471-1444 map facebook
55,Ironwood Hall 505 E. 7th St. map facebook
56,The Long Center 701 W. Riverside Dr. 512-457-5100 map facebook
57,One World Theatre 7701 Bee Caves Rd. 512-330-9500 map facebook
58,The Paramount Theater 713 Congress Ave. 512-472-5470 map facebook
59,Scottish Rite Theater 207 W. 18th St. 512-472-5436 map facebook
60,Skyline Theater 701 W. Riverside Dr. 512-457-5100 map facebook
61,Travis County Exposition Center 7311 Decker Lane 512-854-4900 map facebook
62,Buzz Mill 1505 Town Creek Dr. map facebook
63,Cherrywood Coffeehouse 1400 E. 38th 1/2 St. 512-538-1991 map facebook
64,Counter Culture 2337 E. Cesar Chavez 512-524-1540 map facebook
65,Lamberts 401 W. 2nd St. 512-494-1500 map facebook
66,Oskar Blues Brewery 10420 Metric Blvd. 512-243-7054 map facebook
67,Spiderhouse 2908 Fruth St. 512-480-9562 map facebook
68,Threadgill's 301 West Riverside Dr. 512-472-9304 map facebook
