,event_message,venue_name,venue_address,venue_lat,venue_lon
0,"Curse (Baltimore), Deep Cross, More Eaze, Private Service, Filthy Wolf Party, Kimberly, Fierce Diety at Beerland ",Beerland,711 1/2 Red River,30.2773747,-97.7468783
1,"Impiety, Gravehill, Divine Eve, Serpentian at The Lost Well ",The Lost Well,2421 Webberville Rd.,30.2626404,-97.7144728
2,"Whores., Bummer, Easy Prey, Unmothered at Barracuda ",Barracuda ,611 E. 7th St.,30.2670856,-97.7362808
3,"Sam Pace, Hard Riffs, & Hippo at Hotel Vegas ",Hotel Vegas,1500 E. 6th St.,30.2634308,-97.727264
4,The Gritones at Austin Beer Garden Brewing Co. ,Austin Beer Garden Brewing Co.,1305 W. Oltorf St.,30.2451775,-97.7688783
5,"Polarizado, Exromantika, Chief Perch at the Mohawk ",The Mohawk,912 Red River,30.2701568,-97.7360368
6,Stone Wheels at Oskar Blues Brewery ,Oskar Blues Brewery,10420 Metric Blvd.,30.383536,-97.7142182
7,"HONK! TX presents Wake, Funeral & Afterparty for HONK! TX 2018 at The North Door ",The North Door,501 Brushy St.,30.2647502,-97.7341613
8,"Hayley Orrantia, Brennley Brown at 3ten ACL Live ",3ten ACL Live,"310 Willie Nelson Blvd., Suite 1A",30.265364,-97.7472739
9,Yacht Rock Revue at 3ten ACL Live ,3ten ACL Live,"310 Willie Nelson Blvd., Suite 1A",30.265364,-97.7472739
10,"Ginny Marie, Haydon Hoodoo, Raph Shapiro at the Hole in the Wall ",Hole in the Wall,2538 Guadalupe,30.2900705,-97.7417764
